Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkCraftToolsRank2NmDesc,,progression,Perk,New,Crafting Tier: 14-19 for tools. Decrease crafting time by 2%. Tools below quality 21 will no longer degrade on repair.,,Crafting Tier: 14-19 für Werkzeuge. Verringern Sie Zeit um 2% anfertigt. Werkzeuge unter Qualität 21 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 14-19 para ferramentas. Diminuir a elaboração de tempo de 2%. Ferramentas abaixo qualidade 21 já não degrade no reparo.,Crafting Niveau: 14-19 outils. Diminuer le temps de 2 élaboration%. Outils ci-dessous la qualité 21 ne sera plus sur la réparation. Degrade,Crafting Livello: 14-19 per gli utensili. Diminuire il tempo di lavorazione del 2%. Strumenti di sotto di qualità 21 non sarà più degrado sulla riparazione.,ツールのための21：ティアを作り上げます。 2％の時間を作り上げ減少。修理の品質21なくなり劣化以下のツール。,(21) 도구 : 계층 공예. 2 %의 시간 공예 줄입니다. 수리 품질 (21)가 더 이상 디그레이 아래 도구.,Crafting Poziom: 14-19 narzędzi. Umacnianie zmniejszyć czas 2%. Narzędzia jakości poniżej 21 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 14-19 para ferramentas. Diminuir a elaboração de tempo de 2%. Ferramentas abaixo qualidade 21 já não degrade no reparo.,Разработка Tier: 14-19 для инструментов. Уменьшение времени крафта на 2%. Инструменты ниже качества 21 больше не деградирует на ремонт.,21 araçları için: Tier hazırlama. % 2 bir zaman işçiliği azaltır. tamir üzerinde kalite 21 artık dejenere aşağıda araçlar.,手工艺层：21的工具。减少2％各具特色的时间。下面的工具对修理质量21将不再下降。,手工藝層：21的工具。減少2％各具特色的時間。下面的工具對修理質量21將不再下降。,La elaboración Nivel: 14-19 para herramientas. Disminuir la elaboración de tiempo en un 2%. Herramientas debajo de la calidad 21 ya no se degradan en la reparación.
perkCraftToolsRank3NmDesc,,progression,Perk,New,Crafting Tier: 22-27 for tools. Decrease crafting time by 3%. Tools below quality 31 will no longer degrade on repair.,,Crafting Tier: 22-27 für Werkzeuge. Verringern Sie Zeit um 3% anfertigt. Werkzeuge unter Qualität 31 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 22-27 para ferramentas. Diminuir a elaboração de tempo de 3%. Ferramentas abaixo qualidade 31 já não degrade no reparo.,Crafting Niveau: 22-27 pour les outils. Diminuer le temps de 3 élaboration%. Outils ci-dessous la qualité 31 ne sera plus sur la réparation. Degrade,Crafting Livello: 22-27 per gli utensili. Diminuire il tempo di lavorazione del 3%. Strumenti di sotto di qualità 31 non sarà più degrado sulla riparazione.,ツールのための31：ティアを作り上げます。 3％の時間を作り上げ減少。修理の品質31なくなり劣化以下のツール。,(31) 도구 : 계층 공예. 3 %의 시간 공예 줄입니다. 수리 품질 (31)가 더 이상 디그레이 아래 도구.,Crafting Poziom: 22-27 narzędzi. Umacnianie zmniejszyć czas 3%. Narzędzia jakości poniżej 31 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 22-27 para ferramentas. Diminuir a elaboração de tempo de 3%. Ferramentas abaixo qualidade 31 já não degrade no reparo.,Разработка Tier: 22-27 для инструментов. Уменьшение времени обрабатывая на 3%. Инструменты ниже качества 31 больше не деградирует на ремонт.,31 araçları için: Tier hazırlama. % 3 kez işçiliği azaltır. tamir üzerinde kalite 31 artık dejenere aşağıda araçlar.,手工艺层：31的工具。减少3个各具特色％的时间。下面的工具对修理质量31将不再下降。,手工藝層：31的工具。減少3個各具特色％的時間。下面的工具對修理質量31將不再下降。,La elaboración Nivel: 22-27 para herramientas. Disminuir la elaboración de tiempo por 3%. Herramientas debajo de la calidad 31 ya no se degradan en la reparación.
perkCraftToolsRank4NmDesc,,progression,Perk,New,Crafting Tier: 29-34 for tools. Decrease crafting time by 4%. Tools below quality 41 will no longer degrade on repair.,,Crafting Tier: 29-34 für Werkzeuge. Verringern Sie Zeit um 4% anfertigt. Werkzeuge unter Qualität 41 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 29-34 para ferramentas. Diminuir a elaboração de tempo de 4%. Ferramentas abaixo qualidade 41 já não degrade no reparo.,Crafting Niveau: 29-34 pour les outils. Diminution de l'élaboration de temps de 4%. Outils ci-dessous la qualité 41 ne sera plus sur la réparation. Degrade,Crafting Livello: 29-34 per gli utensili. Diminuire il tempo di lavorazione del 4%. Strumenti di sotto di qualità 41 non sarà più degrado sulla riparazione.,ツールのための41：ティアを作り上げます。 4％の時間を作り上げ減少。修理の品質41なくなり劣化以下のツール。,(41) 도구 : 계층 공예. 4 %의 시간 공예 줄입니다. 수리 품질 (41)가 더 이상 디그레이 아래 도구.,Crafting Poziom: 29-34 narzędzi. Umacnianie zmniejszyć czas 4%. Narzędzia jakości poniżej 41 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 29-34 para ferramentas. Diminuir a elaboração de tempo de 4%. Ferramentas abaixo qualidade 41 já não degrade no reparo.,Разработка Tier: 29-34 для инструментов. Уменьшение времени крафта на 4%. Инструменты ниже качества 41 больше не деградирует на ремонт.,41 araçları için: Tier hazırlama. % 4 kez işçiliği azaltır. tamir üzerinde kalite 41 artık dejenere aşağıda araçlar.,手工艺层：41的工具。减少了4％各具特色的时间。下面的工具对修理质量41将不再下降。,手工藝層：41的工具。減少了4％各具特色的時間。下面的工具對修理質量41將不再下降。,La elaboración Nivel: 29-34 para herramientas. Disminuir la elaboración de tiempo en un 4%. Herramientas debajo de la calidad 41 ya no se degradan en la reparación.
perkCraftToolsRank5NmDesc,,progression,Perk,New,Crafting Tier: 35-40 for tools. Decrease crafting time by 5%. Tools below quality 51 will no longer degrade on repair.,,Crafting Tier: 35-40 für Werkzeuge. Verringern Sie Zeit um 5% anfertigt. Tools unter Qualität 51 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 35-40 para ferramentas. Diminuir a elaboração de tempo de 5%. Ferramentas abaixo qualidade 51 já não degrade no reparo.,Crafting Niveau: 35-40 outils. Diminuer le temps de 5 élaboration%. Outils ci-dessous la qualité 51 ne sera plus sur la réparation. Degrade,Crafting Livello: 35-40 per gli utensili. Diminuire il tempo di lavorazione del 5%. Strumenti di sotto di qualità 51 non sarà più degrado sulla riparazione.,ツールのための51：ティアを作り上げます。 5％の時間を作り上げ減少。修理の品質51なくなり劣化以下のツール。,(51) 도구 : 계층 공예. 5 %의 시간을 공예 줄입니다. 수리 품질 (51)가 더 이상 디그레이 아래 도구.,Crafting Poziom: 35-40 narzędzi. Zmniejsz umacnianie czas o 5%. Narzędzia jakości poniżej 51 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 35-40 para ferramentas. Diminuir a elaboração de tempo de 5%. Ferramentas abaixo qualidade 51 já não degrade no reparo.,Разработка Tier: 35-40 для инструментов. Уменьшение времени обрабатывая на 5%. Инструменты ниже качества 51 больше не деградирует на ремонт.,51 araçları için: Tier hazırlama. % 5 kez işçiliği azaltır. tamir üzerinde kalite 51 artık dejenere aşağıda araçlar.,手工艺层：51的工具。减少了5％各具特色的时间。下面的工具对修理质量51将不再下降。,手工藝層：51的工具。減少了5％各具特色的時間。下面的工具對修理質量51將不再下降。,La elaboración Nivel: 35-40 para herramientas. Disminuir la elaboración de tiempo en un 5%. Herramientas debajo de la calidad 51 ya no se degradan en la reparación.
perkCraftWeaponsRank1NmDesc,,progression,Perk,New,Crafting Tier: 5-10 for melee weapons and bows. Decrease crafting time by 1%. Melee weapons and bows below quality 11 will no longer degrade on repair.,,Crafting Tier: 5-10 für Nahkampfwaffen und Bögen. Verringern Sie Zeit um 1% anfertigt. Nahkampfwaffen und Bögen unterhalb Qualität 11 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 5-10 para armas brancas e arcos. Diminuir a elaboração de tempo de 1%. armas e arcos corpo a corpo abaixo qualidade 11 já não degrade no reparo.,Crafting Niveau: 5-10 pour les armes de mêlée et des arcs. Diminution de l'élaboration de temps de 1%. armes et arcs Melee ci-dessous la qualité 11 ne sera plus sur la réparation. degrade,Crafting Livello: 5-10 per le armi da mischia e archi. Diminuire il tempo di lavorazione dell'1%. Le armi da mischia e fiocchi di sotto di qualità 11 non sarà più degrado sulla riparazione.,近接武器や弓のために11：ティアを作り上げます。 1％の時間を作り上げ減少。修理の品質11以下混戦の武器や弓はなくなり劣化。,근접 무기와 활을 위해 11 : 계층 공예. 1 %의 시간을 공예 줄입니다. 수리 품질 (11)가 더 이상 디그레이 아래의 근접 무기와 활.,Crafting Poziom: 5-10 do białej broni i łuków. Umacnianie zmniejszyć czas 1%. Broń biała i łuki poniżej jakości 11 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 5-10 para armas brancas e arcos. Diminuir a elaboração de tempo de 1%. armas e arcos corpo a corpo abaixo qualidade 11 já não degrade no reparo.,Разработка Tier: 5-10 для холодного оружия и луков. Уменьшение времени выработки на 1%. Холодное оружие и луки ниже качества 11 больше не деградирует на ремонт.,yakın dövüş silahları ve yay için 11: Tier hazırlama. % 1 bir zaman işçiliği azaltır. tamir üzerinde kalite 11 artık dejenere altında Melee silah ve yaylar.,手工艺层：11近战武器和弓箭。减少1％各具特色的时间。近战武器和弓下方品质11将不再降级修理。,手工藝層：11近戰武器和弓箭。減少1％各具特色的時間。近戰武器和弓下方品質11將不再降級修理。,La elaboración Nivel: 5-10 para armas cuerpo a cuerpo y los arcos. Disminuir la elaboración de tiempo en un 1%. armas cuerpo a cuerpo y los arcos por debajo de la calidad 11 ya no se degradan en la reparación.
perkCraftWeaponsRank2NmDesc,,progression,Perk,New,Crafting Tier: 14-19 for melee weapons and bows. Decrease crafting time by 2%. Melee weapons and bows below quality 21 will no longer degrade on repair.,,Crafting Tier: 14-19 für Nahkampfwaffen und Bögen. Verringern Sie Zeit um 2% anfertigt. Nahkampfwaffen und Bögen unterhalb Qualität 21 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 14-19 para armas brancas e arcos. Diminuir a elaboração de tempo de 2%. armas e arcos corpo a corpo abaixo qualidade 21 já não degrade no reparo.,Crafting Niveau: 14-19 pour les armes de mêlée et des arcs. Diminuer le temps de 2 élaboration%. armes et arcs Melee ci-dessous la qualité 21 ne sera plus sur la réparation. degrade,Crafting Livello: 14-19 per le armi da mischia e archi. Diminuire il tempo di lavorazione del 2%. Le armi da mischia e fiocchi di sotto di qualità 21 non sarà più degrado sulla riparazione.,近接武器や弓のために21：ティアを作り上げます。 2％の時間を作り上げ減少。修理の品質21以下混戦の武器や弓はなくなり劣化。,근접 무기와 활을 위해 21 : 계층 공예. 2 %의 시간 공예 줄입니다. 수리 품질 (21)가 더 이상 디그레이 아래의 근접 무기와 활.,Crafting Poziom: 14-19 do białej broni i łuków. Umacnianie zmniejszyć czas 2%. Broń biała i łuki poniżej jakości 21 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 14-19 para armas brancas e arcos. Diminuir a elaboração de tempo de 2%. armas e arcos corpo a corpo abaixo qualidade 21 já não degrade no reparo.,Разработка Tier: 14-19 для холодного оружия и луков. Уменьшение времени крафта на 2%. Холодное оружие и луки ниже качества 21 больше не деградирует на ремонт.,yakın dövüş silahları ve yay için 21: Tier hazırlama. % 2 bir zaman işçiliği azaltır. tamir üzerinde kalite 21 artık dejenere altında Melee silah ve yaylar.,手工艺层：21近战武器和弓箭。减少2％各具特色的时间。近战武器和弓下方品质21将不再降级修理。,手工藝層：21近戰武器和弓箭。減少2％各具特色的時間。近戰武器和弓下方品質21將不再降級修理。,La elaboración Nivel: 14-19 para armas cuerpo a cuerpo y los arcos. Disminuir la elaboración de tiempo en un 2%. armas cuerpo a cuerpo y los arcos por debajo de la calidad 21 ya no se degradan en la reparación.
perkCraftWeaponsRank3NmDesc,,progression,Perk,New,Crafting Tier: 22-27 for melee weapons and bows. Decrease crafting time by 3%. Melee weapons and bows below quality 31 will no longer degrade on repair.,,Crafting Tier: 22-27 für Nahkampfwaffen und Bögen. Verringern Sie Zeit um 3% anfertigt. Nahkampfwaffen und Bögen unterhalb Qualität 31 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 22-27 para armas brancas e arcos. Diminuir a elaboração de tempo de 3%. armas e arcos corpo a corpo abaixo qualidade 31 já não degrade no reparo.,Crafting Niveau: 22-27 pour les armes de mêlée et des arcs. Diminuer le temps de 3 élaboration%. armes et arcs Melee ci-dessous la qualité 31 ne sera plus sur la réparation. degrade,Crafting Livello: 22-27 per le armi da mischia e archi. Diminuire il tempo di lavorazione del 3%. Le armi da mischia e fiocchi di sotto di qualità 31 non sarà più degrado sulla riparazione.,近接武器や弓のために31：ティアを作り上げます。 3％の時間を作り上げ減少。修理の品質31以下混戦の武器や弓はなくなり劣化。,근접 무기와 활 31 : 계층 공예. 3 %의 시간 공예 줄입니다. 수리 품질 (31)가 더 이상 디그레이 아래의 근접 무기와 활.,Crafting Poziom: 22-27 do białej broni i łuków. Umacnianie zmniejszyć czas 3%. Broń biała i łuki poniżej jakości 31 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 22-27 para armas brancas e arcos. Diminuir a elaboração de tempo de 3%. armas e arcos corpo a corpo abaixo qualidade 31 já não degrade no reparo.,Разработка Tier: 22-27 для холодного оружия и луков. Уменьшение времени обрабатывая на 3%. Холодное оружие и луки ниже качества 31 больше не деградирует на ремонт.,yakın dövüş silahları ve yay için 31: Tier hazırlama. % 3 kez işçiliği azaltır. tamir üzerinde kalite 31 artık dejenere altında Melee silah ve yaylar.,手工艺层：31近战武器和弓箭。减少3个各具特色％的时间。近战武器和弓下方品质31将不再降级修理。,手工藝層：31近戰武器和弓箭。減少3個各具特色％的時間。近戰武器和弓下方品質31將不再降級修理。,La elaboración Nivel: 22-27 para armas cuerpo a cuerpo y los arcos. Disminuir la elaboración de tiempo por 3%. armas cuerpo a cuerpo y los arcos por debajo de la calidad 31 ya no se degradan en la reparación.
perkCraftWeaponsRank4NmDesc,,progression,Perk,New,Crafting Tier: 29-34 for melee weapons and bows. Decrease crafting time by 4%. Melee weapons and bows below quality 41 will no longer degrade on repair.,,Crafting Tier: 29-34 für Nahkampfwaffen und Bögen. Verringern Sie Zeit um 4% anfertigt. Nahkampfwaffen und Bögen unterhalb Qualität 41 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 29-34 para armas brancas e arcos. Diminuir a elaboração de tempo de 4%. armas e arcos corpo a corpo abaixo qualidade 41 já não degrade no reparo.,Crafting Niveau: 29-34 pour les armes de mêlée et des arcs. Diminution de l'élaboration de temps de 4%. armes et arcs Melee ci-dessous la qualité 41 ne sera plus sur la réparation. degrade,Crafting Livello: 29-34 per le armi da mischia e archi. Diminuire il tempo di lavorazione del 4%. Le armi da mischia e fiocchi di sotto di qualità 41 non sarà più degrado sulla riparazione.,近接武器や弓のために41：ティアを作り上げます。 4％の時間を作り上げ減少。修理の品質41以下混戦の武器や弓はなくなり劣化。,근접 무기와 활을 위해 41 : 계층 공예. 4 %의 시간 공예 줄입니다. 수리 품질 (41)가 더 이상 디그레이 아래의 근접 무기와 활.,Crafting Poziom: 29-34 do białej broni i łuków. Umacnianie zmniejszyć czas 4%. Broń biała i łuki poniżej jakości 41 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 29-34 para armas brancas e arcos. Diminuir a elaboração de tempo de 4%. armas e arcos corpo a corpo abaixo qualidade 41 já não degrade no reparo.,Разработка Tier: 29-34 для холодного оружия и луков. Уменьшение времени крафта на 4%. Холодное оружие и луки ниже качества 41 больше не деградирует на ремонт.,yakın dövüş silahları ve yay için 41: Tier hazırlama. % 4 kez işçiliği azaltır. tamir üzerinde kalite 41 artık dejenere altında Melee silah ve yaylar.,手工艺层：41，近战武器和弓箭。减少了4％各具特色的时间。近战武器和弓下方品质41将不再降级修理。,手工藝層：41，近戰武器和弓箭。減少了4％各具特色的時間。近戰武器和弓下方品質41將不再降級修理。,La elaboración Nivel: 29-34 para armas cuerpo a cuerpo y los arcos. Disminuir la elaboración de tiempo en un 4%. armas cuerpo a cuerpo y los arcos por debajo de la calidad 41 ya no se degradan en la reparación.
perkCraftWeaponsRank5NmDesc,,progression,Perk,New,Crafting Tier: 35-40 for melee weapons and bows. Decrease crafting time by 5%. Melee weapons and bows below quality 51 will no longer degrade on repair.,,Crafting Tier: 35-40 für Nahkampfwaffen und Bögen. Verringern Sie Zeit um 5% anfertigt. Nahkampfwaffen und Bögen unterhalb Qualität 51 wird nicht mehr Beeinträchtigung auf Reparatur.,Crafting Nível: 35-40 para armas brancas e arcos. Diminuir a elaboração de tempo de 5%. armas e arcos corpo a corpo abaixo qualidade 51 já não degrade no reparo.,Crafting Niveau: 35-40 pour les armes de mêlée et des arcs. Diminuer le temps de 5 élaboration%. armes et arcs Melee ci-dessous la qualité 51 ne sera plus sur la réparation. degrade,Crafting Livello: 35-40 per le armi da mischia e archi. Diminuire il tempo di lavorazione del 5%. Le armi da mischia e fiocchi di sotto di qualità 51 non sarà più degrado sulla riparazione.,近接武器や弓のために51：ティアを作り上げます。 5％の時間を作り上げ減少。修理の品質51以下混戦の武器や弓はなくなり劣化。,근접 무기와 활을 위해 51 : 계층 공예. 5 %의 시간을 공예 줄입니다. 수리 품질 (51)가 더 이상 디그레이 아래의 근접 무기와 활.,Crafting Poziom: 35-40 do białej broni i łuków. Zmniejsz umacnianie czas o 5%. Broń biała i łuki poniżej jakości 51 nie będzie już ulegają degradacji na naprawy.,Crafting Nível: 35-40 para armas brancas e arcos. Diminuir a elaboração de tempo de 5%. armas e arcos corpo a corpo abaixo qualidade 51 já não degrade no reparo.,Разработка Tier: 35-40 для холодного оружия и луков. Уменьшение времени обрабатывая на 5%. Холодное оружие и луки ниже качества 51 больше не деградирует на ремонт.,yakın dövüş silahları ve yay için 51: Tier hazırlama. % 5 kez işçiliği azaltır. tamir üzerinde kalite 51 artık dejenere altında Melee silah ve yaylar.,手工艺层：51近战武器和弓箭。减少了5％各具特色的时间。近战武器和弓下方品质51将不再降级修理。,手工藝層：51近戰武器和弓箭。減少了5％各具特色的時間。近戰武器和弓下方品質51將不再降級修理。,La elaboración Nivel: 35-40 para armas cuerpo a cuerpo y los arcos. Disminuir la elaboración de tiempo en un 5%. armas cuerpo a cuerpo y los arcos por debajo de la calidad 51 ya no se degradan en la reparación.
modGunMeleeLiquidNitrogenNmDesc,,item_modifiers,mod,New,Adds a 50% chance cold proc to all weapons and [007d0a]effective against lesser demons.[-],,,,,,,,,,,,,,
modGunMeleeShredderAmmoDesc,,item_modifiers,mod,New,"Reduces protection of armor. Amount depends on the weapon used, higher RPM is less effective. Stacks to a maximum of 40% no matter what weapon you use.",,,,,,,,,,,,,,
gunCoilpistolDesc,,items,Item Gun,KgNone,Advanced magnum pistol that uses electrically powered magnets to launch a projectile. [007d0a]Effective against legendary zombies.[-] Uses 44 Magnum Coilrounds.,,,,,,,,,,,,,,
gunCoilRifleDesc,,items,Item Gun,KgNone,Advanced carbine rifle that uses electrically powered magnets to launch a projectile. [007d0a]Effective against legendary zombies.[-] Uses 7.62mm Coilrounds.,,,,,,,,,,,,,,
gunCoilSniperDesc,,items,Item Gun,KgNone,Advanced sniper rifle that uses electrically powered magnets to launch a projectile. [007d0a]Effective against legendary zombies.[-] Uses 7.62mm Coilrounds.,,,,,,,,,,,,,,
